model_id,task_id,question_type,correct_replicates,replicate_accuracy_pct,classification,answers,expected_answer
claude-opus-5,Model02_QA02,component_count,3,100.0,unanimous_correct,"[6, 6, 6]",6
claude-opus-5,Model02_QA03,component_count,0,0.0,unanimous_incorrect,"[9, 13, 9]",5
claude-opus-5,Model03_QA01,transmission_ratio,3,100.0,unanimous_correct,"[6.0, 6, 6]",6
claude-opus-5,Model03_QA02,tooth_count,3,100.0,unanimous_correct,"[80, 80, 80]",80
claude-opus-5,Model03_QA03,tooth_count,0,0.0,unanimous_incorrect,"[16, 16, 16]",20
claude-opus-5,Model03_QA04,component_count,3,100.0,unanimous_correct,"[3, 3, 3]",3
claude-opus-5,Model04_QA01,transmission_ratio,1,33.333333333333336,mixed,"[null, 6, 5]",5
claude-opus-5,Model04_QA02,tooth_count,3,100.0,unanimous_correct,"[65, 65, 65]",65
claude-opus-5,Model04_QA03,tooth_count,3,100.0,unanimous_correct,"[16, 16, 16]",16
claude-opus-5,Model04_QA04,tooth_count,0,0.0,unanimous_incorrect,"[24, 24, 24]",34
claude-opus-5,Model04_QA05,component_count,3,100.0,unanimous_correct,"[3, 3, 3]",3
claude-opus-5,Model05_QA01,tooth_count,3,100.0,unanimous_correct,"[20, 20, 20]",20
claude-opus-5,Model05_QA02,tooth_count,3,100.0,unanimous_correct,"[93, 93, 93]",93
claude-opus-5,Model05_QA03,transmission_ratio,3,100.0,unanimous_correct,"[4.65, 4.65, 4.65]",4.65
claude-opus-5,Model06_QA01,component_count,0,0.0,unanimous_incorrect,"[4, 4, 4]",2
claude-opus-5,Model06_QA02,tooth_count,2,66.66666666666667,mixed,"[25, 25, null]",25
claude-opus-5,Model06_QA03,tooth_count,3,100.0,unanimous_correct,"[50, 50, 50]",50
claude-opus-5,Model06_QA04,transmission_ratio,1,33.333333333333336,mixed,"[2, null, null]",2
claude-opus-5,Model07_QA01,component_count,3,100.0,unanimous_correct,"[4, 4, 4]",4
claude-opus-5,Model07_QA02,component_count,3,100.0,unanimous_correct,"[3, 3, 3]",3
claude-opus-5,Model07_QA03,transmission_ratio,0,0.0,unanimous_incorrect,"[null, null, null]",12
claude-opus-5,Model08_QA01,tooth_count,0,0.0,unanimous_incorrect,"[12, 12, 12]",29
claude-opus-5,Model08_QA02,tooth_count,0,0.0,unanimous_incorrect,"[12, 12, 12]",105
claude-opus-5,Model08_QA03,transmission_ratio,0,0.0,unanimous_incorrect,"[null, null, null]",3.6
claude-opus-5,Model08_QA04,gear_type,0,0.0,unanimous_incorrect,"[""Spur"", ""Spur"", ""Spur""]",Helical
claude-opus-5,Model09_QA01,tooth_count,3,100.0,unanimous_correct,"[17, 17, 17]",17
claude-opus-5,Model09_QA02,transmission_ratio,3,100.0,unanimous_correct,"[5.4, 5.4, 5.4]",5.4
claude-opus-5,Model09_QA03,tooth_count,3,100.0,unanimous_correct,"[75, 75, 75]",75
claude-opus-5,Model09_QA04,component_count,3,100.0,unanimous_correct,"[4, 4, 4]",4
claude-opus-5,Model10_QA01,transmission_ratio,2,66.66666666666667,mixed,"[null, 32, 32]",32
claude-fable-5,Model01_QA01,transmission_ratio,3,100.0,unanimous_correct,"[30, 30, 30]",30
claude-fable-5,Model01_QA02,axis_angle,3,100.0,unanimous_correct,"[90, 90, 90]",90
claude-fable-5,Model02_QA01,transmission_ratio,1,33.333333333333336,mixed,"[null, null, 16]",16
claude-fable-5,Model02_QA02,component_count,3,100.0,unanimous_correct,"[6, 6, 6]",6
claude-fable-5,Model02_QA03,component_count,0,0.0,unanimous_incorrect,"[9, 12, 12]",5
claude-fable-5,Model03_QA01,transmission_ratio,3,100.0,unanimous_correct,"[6, 6, 6]",6
claude-fable-5,Model03_QA02,tooth_count,3,100.0,unanimous_correct,"[80, 80, 80]",80
claude-fable-5,Model03_QA03,tooth_count,0,0.0,unanimous_incorrect,"[16, 16, 16]",20
claude-fable-5,Model03_QA04,component_count,3,100.0,unanimous_correct,"[3, 3, 3]",3
claude-fable-5,Model04_QA01,transmission_ratio,1,33.333333333333336,mixed,"[6, 5, 6]",5
claude-fable-5,Model04_QA02,tooth_count,3,100.0,unanimous_correct,"[65, 65, 65]",65
claude-fable-5,Model04_QA03,tooth_count,3,100.0,unanimous_correct,"[16, 16, 16]",16
claude-fable-5,Model04_QA04,tooth_count,0,0.0,unanimous_incorrect,"[24, 24, null]",34
claude-fable-5,Model04_QA05,component_count,3,100.0,unanimous_correct,"[3, 3, 3]",3
claude-fable-5,Model05_QA01,tooth_count,2,66.66666666666667,mixed,"[19, 20, 20]",20
claude-fable-5,Model05_QA02,tooth_count,3,100.0,unanimous_correct,"[93, 93, 93]",93
claude-fable-5,Model05_QA03,transmission_ratio,3,100.0,unanimous_correct,"[4.65, 4.65, 4.65]",4.65
claude-fable-5,Model06_QA01,component_count,0,0.0,unanimous_incorrect,"[4, 4, 4]",2
claude-fable-5,Model06_QA02,tooth_count,2,66.66666666666667,mixed,"[25, null, 25]",25
claude-fable-5,Model06_QA03,tooth_count,1,33.333333333333336,mixed,"[50, 51, 48]",50
claude-fable-5,Model06_QA04,transmission_ratio,1,33.333333333333336,mixed,"[null, null, 2]",2
claude-fable-5,Model07_QA01,component_count,3,100.0,unanimous_correct,"[4, 4, 4]",4
claude-fable-5,Model07_QA02,component_count,3,100.0,unanimous_correct,"[3, 3, 3]",3
claude-fable-5,Model07_QA03,transmission_ratio,0,0.0,unanimous_incorrect,"[null, null, null]",12
claude-fable-5,Model08_QA01,tooth_count,0,0.0,unanimous_incorrect,"[12, 12, 12]",29
claude-fable-5,Model08_QA02,tooth_count,0,0.0,unanimous_incorrect,"[12, 12, 12]",105
claude-fable-5,Model08_QA03,transmission_ratio,0,0.0,unanimous_incorrect,"[null, null, null]",3.6
claude-fable-5,Model08_QA04,gear_type,0,0.0,unanimous_incorrect,"[""Spur"", ""Spur"", ""Spur""]",Helical
claude-fable-5,Model09_QA01,tooth_count,3,100.0,unanimous_correct,"[17, 17, 17]",17
claude-fable-5,Model09_QA02,transmission_ratio,3,100.0,unanimous_correct,"[5.4, 5.4, 5.4]",5.4
claude-fable-5,Model09_QA03,tooth_count,3,100.0,unanimous_correct,"[75, 75, 75]",75
claude-fable-5,Model09_QA04,component_count,3,100.0,unanimous_correct,"[4, 4, 4]",4
claude-fable-5,Model10_QA01,transmission_ratio,0,0.0,unanimous_incorrect,"[31, null, null]",32
